"taxon","date","location","host"
"CY016793",2006.5,"Afghanistan","chicken"
"CY020627",2006.5,"Afghanistan","chicken"
"CY020635",2006.5,"Afghanistan","chicken"
"CY021379",2006.5,"Afghanistan","chicken"
"CY020643",2006.5,"Afghanistan","chicken"
"HQ156771",2010.5,"Bangladesh","chicken"
"HQ156774",2010.5,"Bangladesh","chicken"
"HQ156758",2010.5,"Bangladesh","chicken"
"KC616571",2011.5,"Bangladesh","chicken"
"KC616579",2012.5,"Bangladesh","chicken"
"KC616580",2012.5,"Bangladesh","chicken"
"KC616581",2012.5,"Bangladesh","chicken"
"KC616582",2012.5,"Bangladesh","chicken"
"KC616583",2012.5,"Bangladesh","chicken"
"KC616584",2012.5,"Bangladesh","chicken"
"KC616585",2012.5,"Bangladesh","chicken"
"KC616586",2012.5,"Bangladesh","chicken"
"KC616587",2012.5,"Bangladesh","chicken"
"KC616588",2012.5,"Bangladesh","chicken"
"KC616572",2012.5,"Bangladesh","chicken"
"KC616573",2012.5,"Bangladesh","chicken"
"KC616574",2012.5,"Bangladesh","chicken"
"KC616575",2012.5,"Bangladesh","chicken"
"KC616576",2012.5,"Bangladesh","chicken"
"KC616577",2012.5,"Bangladesh","chicken"
"KC616578",2012.5,"Bangladesh","chicken"
"KM267803",2013.5,"Bangladesh","chicken"
"KM267811",2013.5,"Bangladesh","chicken"
"KM267866",2014.5,"Bangladesh","chicken"
"KM267874",2014.5,"Bangladesh","chicken"
"KM267882",2014.5,"Bangladesh","chicken"
"KM267890",2014.5,"Bangladesh","chicken"
"KF888544",2012.5,"Bangladesh","chicken"
"KF888500",2012.5,"Bangladesh","chicken"
"KF888520",2012.5,"Bangladesh","chicken"
"KF888528",2012.5,"Bangladesh","chicken"
"KF888476",2012.5,"Bangladesh","chicken"
"KF888454",2012.5,"Bangladesh","chicken"
"KF888512",2012.5,"Bangladesh","chicken"
"KY629527",2014.5,"Bangladesh","chicken"
"KY629525",2014.5,"Bangladesh","chicken"
"KY629544",2014.5,"Bangladesh","chicken"
"KY635546",2015.5,"Bangladesh","chicken"
"MG042373",2016.5,"Bangladesh","chicken"
"MG042445",2016.5,"Bangladesh","chicken"
"MH135644",2017.5,"Bangladesh","chicken"
"MH135578",2017.5,"Bangladesh","chicken"
"MH135511",2017.5,"Bangladesh","chicken"
"MH135515",2017.5,"Bangladesh","chicken"
"MN209561",2018.5,"Bangladesh","chicken"
"KF888414",2010.5,"Bangladesh","chicken"
"KF597842",2010.5,"Bangladesh","chicken"
"MK045829",2017.5,"Bangladesh","chicken"
"MK045837",2017.5,"Bangladesh","chicken"
"MK045964",2017.5,"Bangladesh","chicken"
"MK045972",2017.5,"Bangladesh","chicken"
"MK046065",2017.5,"Bangladesh","chicken"
"MN994127",2017.5,"Bangladesh","chicken"
"MN994135",2017.5,"Bangladesh","chicken"
"MN994093",2017.5,"Bangladesh","chicken"
"MN994143",2017.5,"Bangladesh","chicken"
"MN994151",2017.5,"Bangladesh","chicken"
"MN994159",2017.5,"Bangladesh","chicken"
"MN994167",2017.5,"Bangladesh","chicken"
"MN994175",2017.5,"Bangladesh","chicken"
"MN994183",2017.5,"Bangladesh","chicken"
"MN994191",2017.5,"Bangladesh","chicken"
"KP662557",2012.5,"Bhutan","chicken"
"KP662572",2012.5,"Bhutan","chicken"
"KP662574",2012.5,"Bhutan","chicken"
"KP662576",2012.5,"Bhutan","chicken"
"KT717203",2013.5,"Bhutan","chicken"
"KT717197",2013.5,"Bhutan","chicken"
"KP336303",2013.5,"Bhutan","chicken"
"KP662578",2012.5,"Bhutan","chicken"
"KP662580",2012.5,"Bhutan","chicken"
"KP662565",2012.5,"Bhutan","chicken"
"KP336297",2013.5,"Bhutan","chicken"
"KP336300",2013.5,"Bhutan","chicken"
"KP336294",2013.5,"Bhutan","chicken"
"KX215296",2012.5,"Bhutan","chicken"
"KX215358",2012.5,"Bhutan","chicken"
"KX215350",2012.5,"Bhutan","chicken"
"KX215217",2012.5,"Bhutan","chicken"
"KX215342",2012.5,"Bhutan","chicken"
"KT717200",2012.5,"Bhutan","chicken"
"CY066002",2010.5,"Bhutan","chicken"
"CY066010",2010.5,"Bhutan","chicken"
"CY063471",2010.5,"Bhutan","chicken"
"CY063479",2010.5,"Bhutan","chicken"
"KX215312",2012.5,"Bhutan","chicken"
"KX215295",2012.5,"Bhutan","chicken"
