timepoint,genotype,count,fitness
1,00000000,363,1.0
1,00000001,10,1.1
1,00000010,16,1.18
1,00000100,15,0.95
1,00000101,1,1.05
1,00000110,4,1.13
1,00001000,18,1.25
1,00001001,1,1.6300000000000001
1,00010000,18,1.15
1,00010001,1,1.25
1,00010010,2,1.08
1,00010100,2,1.1
1,00100000,14,0.9
1,00100010,1,1.08
1,00101000,2,1.15
1,00110100,1,1.3
1,01000000,13,1.2
1,01000001,2,1.3
1,01000110,1,1.33
1,01010000,1,1.35
1,10000000,11,1.35
1,10000001,2,1.45
1,10000010,1,1.53
2,00000000,240,1.0
2,00000001,16,1.1
2,00000010,24,1.18
2,00000011,2,1.28
2,00000100,23,0.95
2,00000101,3,1.05
2,00000110,6,1.13
2,00001000,32,1.25
2,00001001,1,1.6300000000000001
2,00001010,1,1.43
2,00001100,1,1.2
2,00010000,26,1.15
2,00010001,2,1.25
2,00010010,4,1.08
2,00010100,5,1.1
2,00010101,1,1.2
2,00011000,1,1.4
2,00100000,22,0.9
2,00100001,3,1.0
2,00100010,1,1.08
2,00101000,2,1.15
2,00101010,1,1.33
2,01000000,30,1.2
2,01000001,5,1.3
2,01000010,3,1.38
2,01000100,4,1.15
2,01001000,2,1.1
2,01010000,1,1.35
2,01011000,1,1.25
2,01100000,1,1.1
2,01100010,2,1.28
2,10000000,17,1.35
2,10000001,5,1.45
2,10000010,2,1.53
2,10000100,3,1.3
2,10001000,1,1.6
2,10001100,1,1.55
2,10010000,3,1.5
2,11000000,1,1.9500000000000002
2,11010000,1,2.1
3,00000000,158,1.0
3,00000001,19,1.1
3,00000010,22,1.18
3,00000011,1,1.28
3,00000100,17,0.95
3,00000101,5,1.05
3,00000110,7,1.13
3,00000111,1,1.23
3,00001000,40,1.25
3,00001001,5,1.6300000000000001
3,00001010,2,1.43
3,00001100,3,1.2
3,00001110,1,1.38
3,00010000,22,1.15
3,00010001,2,1.25
3,00010010,4,1.08
3,00010100,7,1.1
3,00010101,3,1.2
3,00010110,2,1.03
3,00011000,2,1.4
3,00011100,1,1.35
3,00100000,17,0.9
3,00100001,5,1.0
3,00100010,1,1.08
3,00100100,1,1.15
3,00100101,1,1.25
3,00101000,5,1.15
3,00101001,1,1.53
3,00101110,1,1.58
3,00110000,5,1.05
3,01000000,33,1.2
3,01000001,5,1.3
3,01000010,6,1.38
3,01000100,5,1.15
3,01001000,6,1.1
3,01001001,2,1.4800000000000002
3,01001100,1,1.0499999999999998
3,01010000,5,1.35
3,01010001,1,1.45
3,01010100,1,1.3
3,01011010,1,1.1800000000000002
3,01100000,3,1.1
3,01100001,1,1.2
3,01100010,1,1.28
